dataset,n_samples,n_features,schedule_id,curve_id,curve_label,display_order,effective_k,tree_count,depth_1_trees,depth_2_trees,depth_3_trees,fit_time_s,accuracy
analcatdata_boxing2,132,3,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,0.09477048958651721,0.696969696969697
analcatdata_boxing2,132,3,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,0.14215573437977583,0.696969696969697
analcatdata_boxing2,132,3,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,0.23692622396629304,0.6363636363636364
analcatdata_boxing2,132,3,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,0.4738524479325861,0.696969696969697
analcatdata_boxing2,132,3,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,0.06756421038880944,0.6363636363636364
analcatdata_boxing2,132,3,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,0.13512842077761889,0.696969696969697
analcatdata_boxing2,132,3,mix_1_50_2_50_T60,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,60,30,30,0,0.20269263116642833,0.6363636363636364
analcatdata_boxing2,132,3,mix_1_50_2_50_T100,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,100,50,50,0,0.3378210519440472,0.6363636363636364
analcatdata_boxing2,132,3,mix_1_50_2_50_T200,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,200,100,100,0,0.6756421038880944,0.6363636363636364
analcatdata_boxing2,132,3,pure_k2_T20,pure_k2,k=2,6,2.0,20,0,20,0,0.10792214157991112,0.6363636363636364
analcatdata_boxing2,132,3,pure_k2_T40,pure_k2,k=2,6,2.0,40,0,40,0,0.21584428315982224,0.6363636363636364
analcatdata_boxing2,132,3,pure_k2_T60,pure_k2,k=2,6,2.0,60,0,60,0,0.3237664247397333,0.6363636363636364
analcatdata_boxing2,132,3,pure_k2_T100,pure_k2,k=2,6,2.0,100,0,100,0,0.5396107078995556,0.6363636363636364
analcatdata_boxing2,132,3,pure_k2_T200,pure_k2,k=2,6,2.0,200,0,200,0,1.0792214157991111,0.6363636363636364
analcatdata_boxing2,132,3,mix_2_95_3_05_T20,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,20,0,19,1,0.17204560616752135,0.6666666666666666
analcatdata_boxing2,132,3,mix_2_95_3_05_T40,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,40,0,38,2,0.3440912123350427,0.6363636363636364
analcatdata_boxing2,132,3,mix_2_95_3_05_T60,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,60,0,57,3,0.516136818502564,0.6363636363636364
