dataset,n_samples,n_features,schedule_id,label,kind,effective_k,depth_1_trees,depth_2_trees,depth_3_trees,n_estimators,fit_time_s,accuracy
analcatdata_boxing1,120,3,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,0.10302687482908368,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.08231782647781073,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.09130257023498417,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.11825680150650442,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,0.1631805202923715,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,0.17269330341368913,0.8333333333333334
analcatdata_boxing1,120,3,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,0.3434034347999841,0.9333333333333333
analcatdata_boxing2,132,3,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.0033839020412415265,0.6666666666666666
analcatdata_boxing2,132,3,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.006767804082483053,0.6666666666666666
analcatdata_boxing2,132,3,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.016919510206207633,0.696969696969697
analcatdata_boxing2,132,3,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.033839020412415266,0.7272727272727273
analcatdata_boxing2,132,3,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.06767804082483053,0.7272727272727273
analcatdata_boxing2,132,3,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.014122070791199804,0.6060606060606061
analcatdata_boxing2,132,3,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.028244141582399608,0.6363636363636364
analcatdata_boxing2,132,3,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.07061035395599902,0.6363636363636364
